Name,Latitude,Longitude,ZCTA5CE10
P.S. 063 Author's Academy,40.83093,-73.901859,10456
P.S. 070 Max Schoenfeld,40.844236,-73.90807,10457
P.S. 073 Bronx,40.832609,-73.926415,10452
P.S. X088 - S. Silverstein Little Sparrow School,40.837019,-73.913523,10456
P.S. 109 Sedgwick,40.851661,-73.918991,10453
P.S. 110 Theodore Schoenfeld,40.83447,-73.900654,10456
P.S. X114 - Luis Llorens Torres Schools,40.834979,-73.923297,10452
I.S. 117 Joseph H. Wade,40.848552,-73.909022,10453
P.S. 126 Dr Marjorie H Dunbar,40.835866,-73.9282,10452
Mott Hall III,40.83447,-73.900654,10456
P.S. 132 Garret A. Morgan,40.832175,-73.907133,10456
P.S. 163 Arthur A. Schomburg,40.8517,-73.899005,10457
P.S. 170,40.844367,-73.913253,10452
P.S. 199X - The Shakespeare School,40.843453,-73.920826,10452
P.S. 204 Morris Heights,40.849416,-73.915217,10453
Kappa,40.833493,-73.903951,10456
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,40.835681,-73.919571,10452
I.S. 219 New Venture School,40.833493,-73.903951,10456
Bronx Collegiate Academy,40.839307,-73.911366,10457
I.S. 229 Roland Patterson,40.8524,-73.9216,10453
Eagle Academy for Young Men,40.845366,-73.897479,10457
I.S. 232,40.849416,-73.915217,10453
P.S. 236 Langston Hughes,40.848907,-73.909936,10453
Urban Assembly School for Applied Math and Science,40.839508,-73.901774,10457
Eximius College Preparatory Academy: A College Boa,40.833884,-73.902794,10456
Mott Hall Bronx High School,40.839508,-73.901774,10457
Bronx Center for Science and Mathematics,40.833884,-73.902794,10456
Validus Preparatory Academy,40.839508,-73.901774,10457
The New American Academy at Roberto Clemente State,40.8524,-73.9216,10453
The Walton Avenue School,40.8404,-73.915879,10452
Morris Academy for Collaborative Studies,40.827455,-73.90392,10456
I.S. X303 Leadership & Community Service,40.849416,-73.915217,10453
Lucero Elementary School,40.8404,-73.915879,10452
I.S. 313 School of Leadership Development,40.840536,-73.904353,10457
Bronx Writing Academy,40.832022,-73.91435,10456
Bronx Early College Academy for Teaching & Learnin,40.828009,-73.917705,10456
Comprehensive Model School Project M.S. 327,40.842503,-73.916084,10452
New Millennium Bronx Academy of the Arts,40.827438,-73.914067,10456
DreamYard Preparatory School,40.839307,-73.911366,10457
I.S. 339,40.840536,-73.904353,10457
New Directions Secondary School,40.839307,-73.911366,10457
The Highbridge Green School,40.838232,-73.927892,10452
Academy for Language and Technology,40.849416,-73.915217,10453
Bronx International High School,40.827455,-73.90392,10456
Bronx High School of Business,40.839307,-73.911366,10457
Bronx High School for Medical Science,40.839307,-73.911366,10457
The Family School,40.831873,-73.917526,10456
