latitude,longitude,route_id,ZCTA5CE10
40.602335,-73.993317,B6,11214
40.5681,-74.115438,S57,10306
40.526834,-74.191546,S55,10312
40.576421,-73.967439,B1,11235
40.660662,-73.962371,B48,11225
40.880095,-73.884308,D90,10467
40.689709,-73.983099,B25,11201
40.83132,-73.91994,BX2,10456
40.760812,-73.968693,SIM26,10022
40.603301,-73.753827,Q35,11691
40.77647,-73.976318,M72,10023
40.785723,-73.856248,Q19,11356
40.738506,-73.793032,Q30,11365
40.854989,-73.83761,BX24,10461
40.763837,-73.97111,BXM6,10022
40.55342,-74.117249,S76,10306
40.705215,-74.01385,SIM4X,10004
40.607048,-73.939457,B44,11229
40.573175,-74.11769,S57,10306
40.702584,-73.81414,Q56,11435
40.586479,-73.815197,QM17,11693
40.713055,-74.009355,BM2,10279
40.661965,-73.82333,Q10,11430
40.862958,-73.896434,BX1,10458
40.618527,-74.155275,SIM34,10314
40.760936,-73.827284,Q31,11354
40.865989,-73.827298,BX12+,10475
40.638172,-73.954775,B49,11210
40.824381,-73.908417,BX21,10456
40.877566,-73.917738,BXM2,10463
40.701551,-73.790447,Q5,11433
40.71262,-73.783923,Q3,11432
40.656215,-73.908149,B15,11212
40.645419,-74.023199,B11,11220
40.676719,-73.900118,B25,11207
40.867685,-73.921405,BXM1,10034
40.614503,-74.157706,SIM4X,10314
40.879254,-73.9054,BX20,10463
40.838994,-73.913297,BX2,10456
40.877829,-73.866304,BX41,10467
40.645803,-73.901677,B6,11236
40.649261,-73.916153,B17,11236
40.793805,-73.797415,Q15A,11357
40.838969,-73.783486,BX29,10464
40.569271,-73.863805,Q35,11694
40.879393,-73.825075,BXM7,10475
40.660006,-73.987518,B67,11215
40.710861,-73.991935,M15,10002
40.672895,-73.78783,Q7,11434
40.620617,-74.024044,B70,11209
40.738058,-73.973463,M34A+,10010
40.575927,-74.119378,SIM15,10306
40.67486,-73.737081,Q5,11413
40.877403,-73.866076,BX41,10467
40.669431,-73.98597,B63,11215
40.810402,-73.951598,BX15,10027
40.652912,-73.866599,Q8,11208
40.645775,-73.901624,B42,11236
40.728395,-73.783325,QM31,11366
40.709399,-74.001915,SIM35,10038
40.756697,-73.976284,BM4,10017
40.619195,-73.933306,B9,11234
40.79386,-73.797424,QM32,11357
40.565988,-74.113106,S57,10306
40.749176,-73.975519,QM32,10016
40.625216,-74.148988,SIM30,10303
40.746681,-73.943358,Q96,11101
40.744626,-73.929584,Q60,11101
40.679836,-73.844731,Q21,11417
40.704472,-74.014153,BM2,10004
40.728395,-73.783325,QM8,11366
40.702108,-73.730337,Q83,11429
40.701551,-73.790447,Q85,11433
40.542586,-74.145566,SIM1C,10308
40.712949,-73.727651,Q2,11429
40.607873,-73.819479,QM17,11693
40.734871,-73.860354,QM42,11374
40.825367,-73.891278,BX4A,10459
40.787657,-73.955416,M106,10128
40.853604,-73.912302,BX3,10453
40.560931,-74.171352,SIM4,10312
40.700421,-73.909993,B52,11385
40.766007,-73.976806,SIM6,
40.713272,-74.004029,M22,10007
40.761907,-73.942632,Q103,11101
40.666648,-73.981897,B67,11215
40.772492,-73.87288,Q48,11371
40.572037,-74.143805,SIM15,10306
40.707223,-73.795441,Q37,11432
40.73014,-73.86153,QM18,11374
40.662983,-73.957279,B49,11225
40.836169,-73.868996,BXM6,10460
40.862638,-73.904979,BX3,10468
40.709168,-73.959974,B32,11211
40.759982,-73.828622,Q15A,11354
40.690331,-73.95725,B48,11205
40.774158,-73.893644,Q33,11370
40.674646,-73.956576,B101,11238
40.84253,-73.853124,BX40,10461
40.639681,-73.968061,BM2,11218
40.693511,-73.85247,J90,11421
40.599713,-73.951339,B49,11229
40.591517,-74.132512,S57,10314
40.811053,-73.927386,BX2,10451
40.704742,-73.902161,Q55,11385
40.725629,-73.791561,Q30,11432
40.868104,-73.919548,BX7,10034
40.74882,-73.937711,Q95,11101
40.577935,-73.959729,B1,11235
40.614852,-74.158286,SIM4C,10314
40.844848,-73.866108,BX39,10462
40.739023,-73.785464,QM31,11365
40.851782,-73.827201,BXM10,10461
40.700269,-73.941297,B46,11206
40.809173,-73.801764,BX40,10465
40.739023,-73.785464,QM5,11365
40.843611,-73.923774,BX11,10452
40.707107,-73.854129,Q23,11375
40.744007,-73.97394,M34+,10016
40.702168,-73.800813,Q85,11433
40.700651,-73.942056,B57,11206
40.834834,-73.820947,BXM9,10465
40.60872,-73.913858,BM1,11234
40.784029,-73.845901,Q20A,11356
40.618027,-73.960435,B9,11230
40.760879,-73.827488,Q16,11354
40.53454,-74.154361,SIM10,10312
