ZCTA20	ZCTA_AREA20	TOT_POP_2020	COUNT_NTM_STOPS	STOPS_PER_CAPITA	STOPS_PER_SQMILE
02562	3.376249075	2814	2	.7107320428	.5923733711
02563	13.215533257	9728	10	1.0279605389	.7566853166
02564	6.06888628	189	29	153.4391479493	4.7784714699
02568	12.848662376	4132	0	0	0
02571	18.701734543	10858	18	1.6577638388	.9624775648
02575	22.748414993	2197	0	0	0
02576	9.404367447	4171	5	1.1987532377	.5316678882
02584	.136330739	0	0	 	0
02601	8.76858902	14939	38	2.5436775684	4.333650589
02630	4.879566669	1892	2	1.0570824146	.4098724723
02631	22.195014954	9565	8	.8363826275	.3604412973
02632	7.460691929	11105	5	.4502476454	.6701791286
02633	8.633201599	4040	2	.4950495064	.2316637635
02635	5.488407612	2826	0	0	0
02637	.772095025	184	0	0	0
02638	5.63644743	3028	0	0	0
02639	2.796635151	3147	1	.3177629411	.3575725555
02641	1.658424258	202	0	0	0
02642	13.967728615	4873	6	1.2312743664	.429561615
02643	2.185439348	0	0	 	0
02644	3.374119282	3744	0	0	0
02645	16.925699234	9730	3	.3083247542	.1772452593
02646	2.903584003	1715	3	1.7492711544	1.0332058668
02647	.431406617	121	0	0	0
02648	9.983429909	6833	2	.2926971912	.2003319561
02649	23.398832321	14204	5	.3520135283	.2136858702
02650	1.364074945	865	1	1.1560693979	.7330975533
02652	8.401278496	710	10	14.0845069885	1.190294981
02653	12.05200386	5865	6	1.0230178833	.4978425205
02655	6.471051216	3100	1	.3225806355	.1545343995
02657	9.670397758	2972	17	5.7200536728	1.7579421997
02659	1.982100606	992	1	1.0080645084	.5045152307
02660	8.373366356	6336	2	.3156565726	.2388525605
02663	2.856391191	106	2	18.8679237366	.700184226
02664	6.984616756	8565	6	.700525403	.859030664
02666	12.552045822	366	4	10.9289617539	.3186731637
02667	16.927791595	3556	5	1.4060742855	.2953722477
02668	14.316969872	2696	1	.3709198833	.0698471814
02670	2.12390542	1190	0	0	0
02671	1.73425889	940	0	0	0
02672	.493840098	261	0	0	0
02673	9.270378113	8875	2	.2253521085	.215740934
02675	8.763503075	6392	0	0	0
02702	16.802999496	4450	1	.2247191072	.0595131852
02703	26.76268959	45023	78	1.7324478626	2.9145052433
02713	3.58301425	37	0	0	0
02715	11.178764343	3934	0	0	0
02717	22.18044281	4914	0	0	0
02718	10.288651466	6748	10	1.4819205999	.9719446898
02719	12.382639885	16072	35	2.1777002811	2.8265378475
02720	13.182648659	30579	177	5.7882862091	13.4267406464
02721	4.023013115	25826	131	5.0724077225	32.5626564026
02723	1.594701171	15340	62	4.0417208672	38.8787574768
02724	1.801023722	17506	88	5.0268478394	48.8610992432
